neighborhood,year,median_asking_rent,yoy_pct
East Harlem North (10035),2018,2361,1.7
East Harlem North (10035),2019,2439,3.3
East Harlem North (10035),2020,2378,-2.5
East Harlem North (10035),2021,2326,-2.2
East Harlem North (10035),2022,2622,12.7
East Harlem North (10035),2023,2758,5.2
East Harlem North (10035),2024,2816,2.1
East Harlem North (10035),2025,2941,4.4
Harlem River (10037),2010,,
Harlem River (10037),2011,,
Harlem River (10037),2012,,
Harlem River (10037),2013,,
Harlem River (10037),2014,,
Harlem River (10037),2015,,
Harlem River (10037),2016,2076,
Harlem River (10037),2017,2122,2.2
Harlem River (10037),2018,2190,3.2
Harlem River (10037),2019,2245,2.5
Harlem River (10037),2020,2210,-1.6
Harlem River (10037),2021,2145,-3.0
Harlem River (10037),2022,2420,12.8
Harlem River (10037),2023,2540,5.0
Harlem River (10037),2024,2601,2.4
Harlem River (10037),2025,2699,3.8
Upper West Side North (10025),2010,,
Upper West Side North (10025),2011,,
Upper West Side North (10025),2012,,
Upper West Side North (10025),2013,,
Upper West Side North (10025),2014,,
Upper West Side North (10025),2015,3165,
Upper West Side North (10025),2016,3220,1.7
Upper West Side North (10025),2017,3213,-0.2
Upper West Side North (10025),2018,3246,1.0
Upper West Side North (10025),2019,3353,3.3
Upper West Side North (10025),2020,3169,-5.5
Upper West Side North (10025),2021,3184,0.5
Upper West Side North (10025),2022,3779,18.7
Upper West Side North (10025),2023,3936,4.2
Upper West Side North (10025),2024,4076,3.5
Upper West Side North (10025),2025,4294,5.4
Upper West Side (10024),2010,,
Upper West Side (10024),2011,,
Upper West Side (10024),2012,,
Upper West Side (10024),2013,,
Upper West Side (10024),2014,,
Upper West Side (10024),2015,2842,
Upper West Side (10024),2016,2882,1.4
Upper West Side (10024),2017,2882,-0.0
Upper West Side (10024),2018,2917,1.2
Upper West Side (10024),2019,2996,2.7
Upper West Side (10024),2020,2871,-4.2
Upper West Side (10024),2021,2836,-1.2
Upper West Side (10024),2022,3394,19.7
Upper West Side (10024),2023,3574,5.3
Upper West Side (10024),2024,3735,4.5
Upper West Side (10024),2025,4018,7.6
East Harlem (10029),2010,,
East Harlem (10029),2011,,
East Harlem (10029),2012,,
East Harlem (10029),2013,,
East Harlem (10029),2014,,
East Harlem (10029),2015,2525,
East Harlem (10029),2016,2558,1.3
East Harlem (10029),2017,2661,4.1
East Harlem (10029),2018,2712,1.9
East Harlem (10029),2019,2772,2.2
East Harlem (10029),2020,2662,-4.0
East Harlem (10029),2021,2513,-5.6
East Harlem (10029),2022,2960,17.8
East Harlem (10029),2023,3106,5.0
East Harlem (10029),2024,3201,3.1
East Harlem (10029),2025,3347,4.6
Lincoln Square (10023),2010,,
Lincoln Square (10023),2011,,
Lincoln Square (10023),2012,,
Lincoln Square (10023),2013,,
Lincoln Square (10023),2014,,
Lincoln Square (10023),2015,3473,
Lincoln Square (10023),2016,3497,0.7
Lincoln Square (10023),2017,3475,-0.6
Lincoln Square (10023),2018,3521,1.3
Lincoln Square (10023),2019,3598,2.2
Lincoln Square (10023),2020,3410,-5.2
Lincoln Square (10023),2021,3447,1.1
Lincoln Square (10023),2022,4138,20.0
Lincoln Square (10023),2023,4287,3.6
Lincoln Square (10023),2024,4454,3.9
Lincoln Square (10023),2025,4786,7.4
Carnegie Hill (10128),2010,,
Carnegie Hill (10128),2011,,
Carnegie Hill (10128),2012,,
Carnegie Hill (10128),2013,,
Carnegie Hill (10128),2014,,
Carnegie Hill (10128),2015,2800,
Carnegie Hill (10128),2016,2840,1.4
Carnegie Hill (10128),2017,2874,1.2
Carnegie Hill (10128),2018,2937,2.2
Carnegie Hill (10128),2019,3031,3.2
Carnegie Hill (10128),2020,2926,-3.5
Carnegie Hill (10128),2021,2815,-3.8
Carnegie Hill (10128),2022,3449,22.5
Carnegie Hill (10128),2023,3609,4.6
Carnegie Hill (10128),2024,3718,3.0
Carnegie Hill (10128),2025,3979,7.0
Upper East Side (10028),2010,,
Upper East Side (10028),2011,,
Upper East Side (10028),2012,,
Upper East Side (10028),2013,,
Upper East Side (10028),2014,,
Upper East Side (10028),2015,2596,
Upper East Side (10028),2016,2654,2.2
Upper East Side (10028),2017,2685,1.2
Upper East Side (10028),2018,2731,1.7
Upper East Side (10028),2019,2812,3.0
Upper East Side (10028),2020,2681,-4.7
Upper East Side (10028),2021,2602,-2.9
Upper East Side (10028),2022,3183,22.3
Upper East Side (10028),2023,3327,4.5
Upper East Side (10028),2024,3453,3.8
Upper East Side (10028),2025,3722,7.8
Riverside South (10069),2010,,
Riverside South (10069),2011,,
Riverside South (10069),2012,,
Riverside South (10069),2013,,
Riverside South (10069),2014,,
Riverside South (10069),2015,,
Riverside South (10069),2016,,
Riverside South (10069),2017,,
Riverside South (10069),2018,,
Riverside South (10069),2019,4413,
Riverside South (10069),2020,4038,-8.5
Riverside South (10069),2021,4201,4.0
Riverside South (10069),2022,5067,20.6
Riverside South (10069),2023,5156,1.8
Riverside South (10069),2024,5440,5.5
Riverside South (10069),2025,5751,5.7
Lenox Hill (10021),2010,,
Lenox Hill (10021),2011,,
Lenox Hill (10021),2012,,
Lenox Hill (10021),2013,,
Lenox Hill (10021),2014,,
Lenox Hill (10021),2015,2620,
Lenox Hill (10021),2016,2664,1.7
Lenox Hill (10021),2017,2693,1.1
Lenox Hill (10021),2018,2739,1.7
Lenox Hill (10021),2019,2816,2.8
Lenox Hill (10021),2020,2678,-4.9
Lenox Hill (10021),2021,2630,-1.8
Lenox Hill (10021),2022,3242,23.3
Lenox Hill (10021),2023,3393,4.6
Lenox Hill (10021),2024,3535,4.2
Lenox Hill (10021),2025,3763,6.5
Upper East Side South (10065),2010,,
Upper East Side South (10065),2011,,
Upper East Side South (10065),2012,,
Upper East Side South (10065),2013,,
Upper East Side South (10065),2014,,
Upper East Side South (10065),2015,2967,
Upper East Side South (10065),2016,3010,1.5
Upper East Side South (10065),2017,3034,0.8
Upper East Side South (10065),2018,3081,1.5
Upper East Side South (10065),2019,3163,2.7
Upper East Side South (10065),2020,3024,-4.4
Upper East Side South (10065),2021,2968,-1.8
Upper East Side South (10065),2022,3592,21.0
Upper East Side South (10065),2023,3765,4.8
Upper East Side South (10065),2024,3910,3.8
Upper East Side South (10065),2025,4216,7.8
Midtown West (10019),2010,,
Midtown West (10019),2011,,
Midtown West (10019),2012,,
Midtown West (10019),2013,,
Midtown West (10019),2014,,
Midtown West (10019),2015,3503,
Midtown West (10019),2016,3509,0.2
Midtown West (10019),2017,3504,-0.2
Midtown West (10019),2018,3512,0.2
Midtown West (10019),2019,3581,2.0
Midtown West (10019),2020,3360,-6.2
